open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1757203200000,0.215830,0.216220,0.215770,0.216180,8005877,1757203259999,1729136.770400,1959,5173494,1117370.260540,0
1757203260000,0.216170,0.216180,0.215960,0.216040,5897699,1757203319999,1274134.015770,1081,2883915,623042.804930,0
1757203320000,0.216030,0.216310,0.215910,0.216260,3620362,1757203379999,782453.921750,1444,2363341,510748.800570,0
1757203380000,0.216250,0.216310,0.216120,0.216270,1618995,1757203439999,350057.604010,844,1037852,224391.574740,0
1757203440000,0.216270,0.216450,0.216260,0.216400,1571027,1757203499999,339905.733630,864,1084334,234595.840360,0
1757203500000,0.216390,0.216470,0.216170,0.216220,2850958,1757203559999,616781.697320,1033,1751107,378845.237940,0
1757203560000,0.216230,0.216320,0.216160,0.216240,2367891,1757203619999,512009.282240,800,1244426,269038.891250,0
1757203620000,0.216230,0.216240,0.216150,0.216160,706890,1757203679999,152822.934050,502,342921,74134.459540,0
1757203680000,0.216170,0.216220,0.216080,0.216220,3300311,1757203739999,713353.540330,925,1280213,276730.906920,0
1757203740000,0.216210,0.216260,0.216200,0.216250,462881,1757203799999,100097.223280,388,359153,77667.005350,0
1757203800000,0.216260,0.216370,0.216250,0.216360,1709499,1757203859999,369813.211390,621,661000,142989.631030,0
1757203860000,0.216360,0.216460,0.216360,0.216450,734974,1757203919999,159055.922240,514,540719,117014.411590,0
1757203920000,0.216450,0.216460,0.216320,0.216350,2007391,1757203979999,434433.647950,842,610862,132196.079570,0
1757203980000,0.216350,0.216350,0.216210,0.216300,910359,1757204039999,196897.437670,480,458941,99252.659810,0
1757204040000,0.216300,0.216340,0.216230,0.216240,1220597,1757204099999,264013.370040,439,201864,43666.633130,0
1757204100000,0.216240,0.216270,0.216030,0.216040,1556359,1757204159999,336464.318290,989,732142,158278.652590,0
1757204160000,0.216040,0.216070,0.216020,0.216040,1377808,1757204219999,297671.238520,502,737195,159268.558490,0
1757204220000,0.216040,0.216180,0.216040,0.216060,910299,1757204279999,196713.256420,574,502371,108553.262810,0
1757204280000,0.216070,0.216110,0.216060,0.216060,535974,1757204339999,115813.263580,367,359610,77703.528720,0
1757204340000,0.216060,0.216100,0.215960,0.215990,1114044,1757204399999,240663.426740,619,635389,137264.266250,0
1757204400000,0.215990,0.216000,0.215820,0.215930,2492959,1757204459999,538244.318060,864,951815,205489.080720,0
1757204460000,0.215930,0.216060,0.215930,0.216050,456130,1757204519999,98509.050800,357,353127,76266.419330,0
1757204520000,0.216060,0.216120,0.216010,0.216060,2053718,1757204579999,443737.546970,565,1103423,238390.992420,0
1757204580000,0.216060,0.216070,0.216050,0.216070,288212,1757204639999,62270.727740,201,101390,21906.443610,0
1757204640000,0.216070,0.216210,0.216050,0.216200,935502,1757204699999,202168.032400,547,722550,156155.762260,0
1757204700000,0.216210,0.216210,0.216080,0.216160,953264,1757204759999,206045.777480,596,345791,74733.768680,0
1757204760000,0.216160,0.216160,0.216020,0.216020,705221,1757204819999,152381.982560,436,79552,17187.905550,0
1757204820000,0.216020,0.216030,0.215890,0.215920,2540656,1757204879999,548650.050100,599,871412,188160.343560,0
1757204880000,0.215930,0.216040,0.215920,0.215960,1474348,1757204939999,318430.121250,410,1023089,220955.304910,0
1757204940000,0.215960,0.215970,0.215890,0.215940,1170575,1757204999999,252752.080550,411,505321,109108.436740,0
1757205000000,0.215950,0.215950,0.215810,0.215810,2814446,1757205059999,607585.213710,748,610229,131737.041590,0
1757205060000,0.215810,0.215880,0.215720,0.215760,3979823,1757205119999,858753.989450,745,1555928,335780.390470,0
1757205120000,0.215750,0.215760,0.215660,0.215750,2167678,1757205179999,467587.140990,612,1636558,353023.524030,0
1757205180000,0.215750,0.215910,0.215660,0.215730,2005542,1757205239999,432748.631110,807,1371124,295838.425690,0
1757205240000,0.215730,0.215730,0.215590,0.215610,1309623,1757205299999,282411.670250,502,123097,26541.333060,0
1757205300000,0.215600,0.215690,0.215600,0.215660,1111707,1757205359999,239714.484240,293,471184,101595.819230,0
1757205360000,0.215660,0.215910,0.215650,0.215860,3218013,1757205419999,694341.415700,654,2440567,526545.202350,0
1757205420000,0.215860,0.216080,0.215860,0.216040,3738580,1757205479999,807433.141790,614,3201162,691336.578200,0
1757205480000,0.216050,0.216090,0.216040,0.216080,1364736,1757205539999,294864.104840,302,886685,191577.964400,0
1757205540000,0.216090,0.216150,0.216090,0.216150,813862,1757205599999,175894.030180,381,689721,149066.191600,0
1757205600000,0.216150,0.216240,0.216140,0.216240,510363,1757205659999,110324.418570,421,452021,97713.945770,0
1757205660000,0.216240,0.216290,0.216210,0.216290,1410112,1757205719999,304949.510410,518,785339,169841.235970,0
1757205720000,0.216290,0.216400,0.216280,0.216390,1207101,1757205779999,261168.451410,451,917857,198582.623180,0
1757205780000,0.216390,0.216520,0.216390,0.216440,5865528,1757205839999,1269685.230090,1191,3057684,661885.322200,0
1757205840000,0.216440,0.216620,0.216440,0.216610,2703212,1757205899999,585405.243310,619,2267178,490981.948240,0
1757205900000,0.216610,0.216720,0.216610,0.216710,1255463,1757205959999,272013.332110,638,955337,206988.855260,0
1757205960000,0.216710,0.216720,0.216680,0.216690,915449,1757206019999,198375.832790,345,208302,45139.767240,0
